Time,gyro_x,gyro_y,gyro_z
1784516397129.5737,-0.00116,0.00742,0.00705
1784516397230.0771,-0.00111,0.00915,0.00678
1784516397329.8381,-0.00016,0.0074,0.00674
1784516397431.0232,-0.00101,0.00851,0.00766
1784516397530.3481,-0.0004,0.0097,0.0085
1784516397629.483,-0.00184,0.00647,0.00806
1784516397728.8801,0.0001,0.00687,0.00773
1784516397829.6,-0.00241,0.00787,0.00472
1784516397928.9182,0.00033,0.00683,0.00594
1784516398029.09,-0.00199,0.00828,0.00864
1784516398127.904,-0.00148,0.00706,0.00831
1784516398228.0378,-3e-05,0.00913,0.00412
1784516398327.774,-0.00361,0.0099,0.00821
1784516398427.141,-0.00018,0.00945,0.00584
1784516398527.847,0.00029,0.00787,0.0089
1784516398628.094,-0.00069,0.00765,0.00562
1784516398736.4941,-0.0009,0.00919,0.00241
1784516398827.804,-0.00092,0.00837,0.0058
1784516398927.9,-0.00149,0.00626,0.00805
1784516399028.424,-0.00322,0.01145,0.00913
1784516399128.791,0.00097,0.00887,0.00803
1784516399247.946,-0.00372,0.00847,0.0055
1784516399347.583,-0.00068,0.00726,0.00355
1784516399447.788,-6e-05,0.0092,0.00752
1784516399548.397,-0.00284,0.00771,0.00673
1784516399648.672,0.00145,0.00945,0.00602
1784516399748.516,-0.00151,0.00933,0.00727
1784516399847.795,-0.00268,0.00771,0.00995
1784516399947.599,-0.00024,0.00972,0.00747
1784516400047.6868,-0.00391,0.00697,0.0069
1784516400147.9138,0.00017,0.00699,0.00776
1784516400248.5151,-0.00204,0.00838,0.0066
1784516400369.901,0.00098,0.00565,0.0082
1784516400468.343,-0.00025,0.00765,0.00634
1784516400568.227,-0.002,0.0065,0.00743
1784516400668.0808,-0.00177,0.00681,0.00595
1784516400767.6533,-0.00195,0.0062,0.00786
1784516400868.18,-0.00113,0.00668,0.00741
1784516400968.134,-0.00166,0.00673,0.00655
1784516401068.4329,-0.00118,0.00765,0.00684
1784516401167.87,-0.00301,0.00554,0.00977
1784516401268.6091,0.00029,0.00647,0.00508
1784516401369.212,0.00268,0.00918,0.00742
1784516401468.344,-0.00081,0.00794,0.00746
1784516401568.351,-0.00134,0.00954,0.00669
1784516401689.087,0.00012,0.0093,0.00793
1784516401788.928,-0.00173,0.00686,0.00457
1784516401889.771,-0.00061,0.01002,0.00428
1784516401990.654,-0.00025,0.0071,0.00604
1784516402090.009,-0.00158,0.00733,0.00701
1784516402189.386,-0.00058,0.00962,0.00481
1784516402288.927,-0.00108,0.00591,0.00812
1784516402390.9277,3e-05,0.00653,0.00786
1784516402488.301,-0.00135,0.00639,0.00775
1784516402588.485,-2e-05,0.00892,0.00742
1784516402690.2102,-0.00184,0.00798,0.00829
1784516402787.8162,0.00091,0.00674,0.00753
1784516402887.852,-0.00133,0.00662,0.00605
1784516402987.798,-0.00137,0.00492,0.00603
1784516403089.067,-0.00021,0.00741,0.00702
1784516403188.404,0.00048,0.00785,0.0055
1784516403288.645,-0.00207,0.00896,0.00546
1784516403408.551,-0.00038,0.00707,0.00623
1784516403507.8882,0.00207,0.01002,0.00628
1784516403608.427,-0.00041,0.00712,0.00437
1784516403707.797,-0.00021,0.00726,0.00675
1784516403808.4622,0.00048,0.00868,0.00558
1784516403908.394,0.00105,0.00749,0.0068
1784516404008.5771,-0.00162,0.0095,0.00892
1784516404108.716,0.00099,0.00562,0.00631
1784516404207.683,-0.00249,0.00924,0.00598
1784516404307.873,-0.00156,0.00628,0.0074
1784516404408.3882,0.00056,0.00921,0.00822
1784516404508.399,-0.00066,0.00785,0.00467
1784516404608.59,-0.00068,0.01068,0.00534
1784516404708.4019,-0.00179,0.00774,0.00556
1784516404827.9521,0.0002,0.00821,0.00733
1784516404928.231,-0.00057,0.00925,0.00512
1784516405028.22,0.00025,0.00988,0.00941
1784516405129.043,-0.00282,0.0113,0.00792
1784516405228.641,-0.00227,0.00765,0.00643
1784516405328.5762,0.00015,0.00856,0.00755
1784516405428.671,-0.00154,0.00866,0.00765
1784516405528.733,-0.0002,0.00816,0.00721
1784516405628.341,0.00201,0.00853,0.00592
1784516405728.4941,0.00026,0.00878,0.0061
1784516405828.644,-0.00187,0.01095,0.00666
1784516405952.0771,0.00208,0.0076,0.00348
1784516406050.6292,-0.00225,0.01068,0.00654
1784516406161.091,0.00023,0.00771,0.00649
1784516406251.153,-0.00095,0.00663,0.00681
1784516406350.563,0.00106,0.00859,0.00653
1784516406450.288,-0.0027,0.0059,0.00617
1784516406550.308,0.0001,0.00695,0.00776
1784516406649.682,-0.00107,0.00802,0.0067
1784516406749.5872,-0.00197,0.00988,0.00516
1784516406848.4458,-0.00249,0.00931,0.0074
1784516406948.3462,-0.00046,0.0063,0.0037
1784516407049.1892,-0.00396,0.00615,0.00599
1784516407149.015,-1e-05,0.008,0.00688
1784516407248.908,0.00011,0.00873,0.0056
1784516407348.9402,-0.00208,0.01029,0.00593
1784516407448.6543,-0.00185,0.00933,0.00574
1784516407548.5781,-0.00097,0.008,0.00609
1784516407648.137,0.00014,0.00719,0.00555
1784516407748.5208,-0.00071,0.01046,0.00707
1784516407848.0378,-0.00216,0.00541,0.00735
1784516407968.134,0.00078,0.00674,0.0057
1784516408068.46,-0.00103,0.00793,0.00804
1784516408167.7693,-0.00077,0.00632,0.00757
1784516408268.5571,-0.00137,0.00739,0.00794
1784516408368.386,-0.00216,0.00881,0.00815
1784516408468.471,-0.00062,0.00854,0.00655
1784516408567.1091,-0.00248,0.00818,0.00332
1784516408668.195,0.0005,0.00891,0.00871
1784516408771.113,-0.00049,0.00826,0.00547
1784516408888.3208,-0.00097,0.00582,0.0051
1784516408988.708,-0.00152,0.0069,0.00378
1784516409088.615,0.00187,0.0067,0.00765
1784516409187.762,-0.00112,0.00727,0.00441
1784516409287.738,0.00076,0.00842,0.00428
