Time,acc_x,acc_y,acc_z
1784516396629.9597,-0.00612,0.012,-0.99893
1784516396730.2651,-0.00717,0.01007,-0.99689
1784516396830.038,-0.00601,0.00978,-0.99665
1784516396933.967,-0.005,0.01119,-0.99839
1784516397034.494,-0.00616,0.01231,-0.99887
1784516397129.5737,-0.00584,0.01244,-0.99801
1784516397230.0771,-0.00613,0.01121,-0.99781
1784516397329.8381,-0.00633,0.01286,-0.99941
1784516397431.0232,-0.00617,0.01158,-0.99829
1784516397530.3481,-0.00548,0.01209,-0.99759
1784516397629.483,-0.00748,0.01125,-0.99839
1784516397728.8801,-0.0044,0.01027,-1.0004
1784516397829.6,-0.00723,0.01139,-0.99763
1784516397928.9182,-0.00469,0.0113,-0.99886
1784516398029.09,-0.0062,0.01176,-0.99777
1784516398127.904,-0.00609,0.01104,-0.99833
1784516398228.0378,-0.00379,0.01178,-0.99926
1784516398327.774,-0.00755,0.0109,-0.99817
1784516398427.141,-0.00534,0.01121,-0.99752
1784516398527.847,-0.00737,0.01028,-0.99919
1784516398628.094,-0.00405,0.01153,-0.9959
1784516398736.4941,-0.00478,0.0114,-0.99764
1784516398827.804,-0.00581,0.01096,-0.99731
1784516398927.9,-0.00521,0.01082,-0.99688
1784516399028.424,-0.00526,0.00983,-0.99733
1784516399128.791,-0.00671,0.01149,-0.99798
1784516399247.946,-0.00539,0.01002,-0.9988
1784516399347.583,-0.00635,0.01051,-0.99953
1784516399447.788,-0.00725,0.0113,-0.99714
1784516399548.397,-0.0057,0.01043,-0.99717
1784516399648.672,-0.00547,0.01159,-0.99516
1784516399748.516,-0.00559,0.01129,-0.99704
1784516399847.795,-0.00475,0.01086,-0.99819
1784516399947.599,-0.00429,0.01068,-0.99614
1784516400047.6868,-0.00513,0.0114,-0.99551
1784516400147.9138,-0.00617,0.01068,-0.99849
1784516400248.5151,-0.00596,0.01057,-0.99665
1784516400369.901,-0.00462,0.00993,-0.99813
1784516400468.343,-0.0079,0.011,-0.99541
1784516400568.227,-0.00711,0.01065,-0.99594
1784516400668.0808,-0.00621,0.01018,-0.99845
1784516400767.6533,-0.00567,0.01111,-0.99718
1784516400868.18,-0.00598,0.01048,-0.9958
1784516400968.134,-0.00604,0.01124,-0.99781
1784516401068.4329,-0.00596,0.00948,-0.99719
1784516401167.87,-0.0072,0.01057,-0.99941
1784516401268.6091,-0.00618,0.01114,-0.9996
1784516401369.212,-0.00564,0.01182,-0.99948
1784516401468.344,-0.00445,0.01171,-0.998
1784516401568.351,-0.00809,0.01091,-0.99678
1784516401689.087,-0.00744,0.00983,-0.99753
1784516401788.928,-0.00559,0.01145,-0.9983
1784516401889.771,-0.00596,0.01182,-0.99799
1784516401990.654,-0.00434,0.01073,-0.99763
1784516402090.009,-0.00751,0.01133,-0.99874
1784516402189.386,-0.00521,0.01029,-0.99863
1784516402288.927,-0.00678,0.01076,-0.99705
1784516402390.9277,-0.00593,0.01001,-0.99817
1784516402488.301,-0.00568,0.00917,-0.99772
1784516402588.485,-0.00634,0.01052,-0.99829
1784516402690.2102,-0.00551,0.00995,-0.99562
1784516402787.8162,-0.00528,0.01032,-0.99561
1784516402887.852,-0.00624,0.01123,-0.99653
1784516402987.798,-0.00627,0.01113,-0.99754
1784516403089.067,-0.0061,0.01074,-0.99637
1784516403188.404,-0.00415,0.01035,-0.99824
1784516403288.645,-0.00709,0.00987,-0.9978
1784516403408.551,-0.00451,0.01132,-0.9978
1784516403507.8882,-0.00551,0.01166,-0.99753
1784516403608.427,-0.00582,0.0113,-0.99792
1784516403707.797,-0.00569,0.01113,-0.99875
1784516403808.4622,-0.00616,0.01014,-0.99656
1784516403908.394,-0.00517,0.01132,-0.99697
1784516404008.5771,-0.00677,0.0106,-0.99868
1784516404108.716,-0.00396,0.01224,-0.99745
1784516404207.683,-0.00525,0.00973,-0.99862
1784516404307.873,-0.00517,0.01065,-0.99944
1784516404408.3882,-0.0054,0.01002,-0.99946
1784516404508.399,-0.00459,0.01248,-0.99932
1784516404608.59,-0.00792,0.01157,-0.99605
1784516404708.4019,-0.00457,0.01179,-0.99968
1784516404827.9521,-0.00587,0.01122,-0.99745
1784516404928.231,-0.00473,0.01167,-0.99619
1784516405028.22,-0.00509,0.01078,-0.99855
1784516405129.043,-0.00604,0.01027,-0.99553
1784516405228.641,-0.00465,0.01008,-0.99803
1784516405328.5762,-0.00396,0.01105,-0.9985
1784516405428.671,-0.00456,0.00962,-0.99834
1784516405528.733,-0.0062,0.01059,-0.99738
1784516405628.341,-0.00606,0.01166,-0.99645
1784516405728.4941,-0.00584,0.01163,-0.9979
1784516405828.644,-0.00687,0.01104,-0.99921
1784516405952.0771,-0.00511,0.01119,-0.99849
1784516406050.6292,-0.00476,0.01129,-0.99764
1784516406161.091,-0.00512,0.00955,-0.99694
1784516406251.153,-0.00349,0.01074,-0.99965
1784516406350.563,-0.00682,0.01104,-0.99855
1784516406450.288,-0.00461,0.01056,-0.99841
1784516406550.308,-0.0051,0.01009,-1.00112
1784516406649.682,-0.00672,0.01033,-0.99914
1784516406749.5872,-0.00492,0.0103,-0.99695
1784516406848.4458,-0.0045,0.01124,-0.99632
1784516406948.3462,-0.00652,0.01164,-0.99954
1784516407049.1892,-0.00403,0.01042,-0.99812
1784516407149.015,-0.00572,0.01027,-0.99801
1784516407248.908,-0.00499,0.01131,-0.99717
1784516407348.9402,-0.00492,0.01209,-0.99622
1784516407448.6543,-0.00729,0.01209,-0.9981
1784516407548.5781,-0.00338,0.01181,-0.99576
1784516407648.137,-0.00609,0.01148,-0.99672
1784516407748.5208,-0.00494,0.01105,-0.99854
1784516407848.0378,-0.0044,0.01025,-0.99788
1784516407968.134,-0.00529,0.01051,-0.99713
1784516408068.46,-0.00609,0.01099,-0.9999
1784516408167.7693,-0.0051,0.00994,-0.99957
1784516408268.5571,-0.00504,0.00957,-0.99853
1784516408368.386,-0.0056,0.01143,-0.99887
1784516408468.471,-0.00593,0.01076,-0.99735
1784516408567.1091,-0.0056,0.01096,-0.99637
1784516408668.195,-0.00574,0.01084,-0.99777
1784516408771.113,-0.00549,0.01109,-0.9985
1784516408888.3208,-0.00599,0.01032,-0.99634
1784516408988.708,-0.00435,0.01183,-0.99834
1784516409088.615,-0.00648,0.01133,-0.99602
1784516409187.762,-0.00406,0.00992,-0.99645
1784516409287.738,-0.00569,0.01196,-0.99893
1784516409388.037,-0.00561,0.0126,-0.99542
1784516409488.732,-0.00625,0.00977,-0.99818
1784516409588.706,-0.00726,0.01178,-0.99705
1784516409687.7341,-0.00327,0.01071,-0.99719
1784516409789.94,-0.00531,0.01122,-0.99818
1784516409887.96,-0.0056,0.01163,-0.99838
1784516409988.0938,-0.00506,0.01166,-1.00141
1784516410088.0552,-0.00738,0.0117,-0.99802
1784516410187.811,-0.00264,0.01209,-0.99793
1784516410308.0771,-0.00593,0.01131,-0.99688
1784516410408.6301,-0.00721,0.011,-0.99934
1784516410508.6611,-0.00303,0.01076,-0.99685
1784516410608.8179,-0.00785,0.01157,-0.99736
1784516410707.9028,-0.00459,0.01065,-0.99713
1784516410809.3682,-0.00605,0.01131,-0.9974
1784516410912.587,-0.00471,0.01158,-0.99853
1784516411027.799,-0.00515,0.01106,-0.99784
1784516411129.281,-0.00561,0.01109,-0.99704
1784516411227.684,-0.00593,0.01123,-0.998
1784516411327.7239,-0.00531,0.0117,-0.99826
1784516411429.155,-0.00361,0.01204,-0.996
1784516411528.6418,-0.00658,0.01152,-0.99692
1784516411628.234,-0.00383,0.01097,-0.99822
1784516411749.289,-0.00707,0.01347,-0.99839
1784516411843.4438,-0.0055,0.01133,-0.99604
1784516411948.1,-0.00663,0.00983,-0.99792
1784516412047.742,-0.00595,0.01105,-0.99759
1784516412149.208,-0.00488,0.01199,-0.99718
1784516412248.1191,-0.00569,0.01128,-0.99555
1784516412348.332,-0.00676,0.01008,-0.99671
1784516412449.503,-0.00624,0.01234,-0.99624
1784516412547.8652,-0.00614,0.01086,-0.99696
1784516412647.729,-0.00638,0.01208,-0.99604
1784516412748.5361,-0.00767,0.01174,-0.99737
1784516412848.881,-0.00651,0.01128,-0.99937
1784516412949.9578,-0.00567,0.01101,-0.99684
1784516413068.341,-0.00549,0.01203,-0.99656
1784516413168.0078,-0.00653,0.012,-0.99603
1784516413267.9412,-0.00394,0.01158,-0.99878
1784516413367.871,-0.00602,0.01087,-0.99728
1784516413467.762,-0.00521,0.01137,-0.99711
1784516413567.8762,-0.00658,0.01203,-0.99851
1784516413667.694,-0.00615,0.01011,-0.99774
1784516413767.715,-0.00421,0.00993,-0.9985
1784516413867.989,-0.0073,0.01082,-0.99836
1784516413989.687,-0.00616,0.00965,-0.99772
1784516414089.657,-0.00723,0.01021,-0.99774
1784516414188.843,-0.004,0.01053,-0.99765
1784516414288.821,-0.00712,0.01022,-0.99538
1784516414389.205,-0.00605,0.01039,-0.99692
1784516414489.2212,-0.00603,0.01129,-0.996
1784516414589.5469,-0.00653,0.01181,-0.99755
1784516414729.1147,-0.00593,0.01046,-0.99912
