Time,Distance(mm.)
1784522004184.4192,4400
1784522004284.174,4402
1784522004384.296,4398
1784522004483.742,4398
1784522004583.831,4398
1784522004684.4402,4398
1784522004784.7822,4400
1784522004885.077,4396
1784522004983.821,4399
1784522005084.363,4399
1784522005184.396,4399
1784522005284.707,4392
1784522005387.286,4355
1784522005503.5898,4289
1784522005624.011,4210
1784522005726.1162,4122
1784522005825.511,4040
1784522005924.639,3967
1784522006044.08,3893
1784522006126.302,3811
1784522006244.323,3732
1784522006344.0771,3654
1784522006443.9758,3577
1784522006544.1743,3501
1784522006644.161,3418
1784522006744.8408,3305
1784522006844.4941,3229
1784522006947.7483,3150
1784522007044.469,3072
1784522007144.5142,2993
1784522007244.107,2956
1784522007344.759,2878
1784522007444.415,2800
1784522007546.493,2684
1784522007645.8188,2606
1784522007764.3892,2525
1784522007864.174,2447
1784522007964.3818,2367
1784522008064.898,2289
1784522008164.722,2209
1784522008264.306,2136
1784522008364.448,2085
1784522008464.959,2060
1784522008565.1409,2060
1784522008664.47,2061
1784522008764.3452,2062
1784522008864.616,2064
1784522008984.142,2064
1784522009084.2231,2064
