Time,gyro_x,gyro_y,gyro_z
1784522004164.979,-0.00403,0.00579,0.00101
1784522004264.374,-0.00257,0.00639,-6e-05
1784522004364.22,-0.00459,0.00504,0.00179
1784522004463.775,-0.00055,0.00627,0.00349
1784522004564.01,-0.00206,0.00924,3e-05
1784522004664.772,-0.00298,0.00904,0.0009
1784522004765.064,-0.00764,0.00519,-0.00067
1784522004864.844,-0.00219,0.00552,0.00254
1784522004963.682,-0.00536,0.00658,0.00355
1784522005064.847,-0.00485,0.0078,0.00146
1784522005164.345,-0.0027,0.00474,0.00506
1784522005265.783,-0.00521,0.03798,0.00364
1784522005384.9119,-0.02431,0.04104,0.03184
1784522005484.252,-0.08305,-0.01341,0.16089
1784522005603.662,0.02754,0.04875,-0.03471
1784522005704.132,-0.05369,-0.00564,-0.06666
1784522005803.978,0.00549,0.03059,-0.02413
1784522005904.074,0.06118,0.02059,-0.01492
1784522006024.295,-0.01056,0.00211,-0.02632
1784522006125.1,0.01943,0.05539,-0.02124
1784522006224.864,0.01929,0.05148,0.00756
1784522006324.6729,0.02543,-0.02587,0.02187
1784522006424.906,0.00431,0.08595,-0.01152
1784522006524.09,-0.00945,0.02882,-0.01222
1784522006624.893,-0.03737,0.01311,0.0236
1784522006725.037,-0.00772,-0.06545,0.00595
1784522006824.5671,-0.01451,-0.08039,0.03241
1784522006925.012,0.09658,-0.0249,-0.0003
1784522007025.749,-0.05276,0.03455,0.01653
1784522007126.6199,-0.03241,0.02227,0.0166
1784522007225.26,-0.04032,0.02173,-0.00345
1784522007324.796,-0.03945,0.05672,-0.01125
1784522007424.9192,-0.07721,0.03435,-0.02741
1784522007544.6812,-0.09903,-0.02952,0.03808
1784522007644.449,-0.02122,-0.02584,0.01879
1784522007744.52,-0.06648,-0.0438,-0.00049
1784522007844.5188,-0.02051,-0.00574,-0.03968
1784522007945.848,-0.06738,0.05617,-0.00268
1784522008043.9097,-0.02345,-0.05772,-0.00123
1784522008144.2493,-0.10516,0.08824,0.01784
1784522008243.819,0.00991,-0.06335,0.02655
1784522008344.6199,0.00698,0.02591,-0.04347
1784522008445.432,0.01788,0.04453,-0.27273
1784522008547.5562,-0.01346,-0.00842,0.02556
1784522008643.9932,-0.00327,0.01774,0.02932
1784522008744.279,-0.00628,0.01576,-0.00359
1784522008844.336,-0.00816,0.00677,-0.02682
1784522008944.3918,-0.00579,0.00939,-0.01752
1784522009064.4639,-0.00241,0.00858,-0.0
