time_s,adc_front,adc_rear,front_cm,rear_cm,mean_cm,angle_deg
2.704,239,272,15.272967984459191,13.333491492129468,14.30322973829433,8.175454093364431
2.809,246,278,14.8169690908872,13.031493797704442,13.92423144429582,7.534066847239504
2.912,257,290,14.15179268743429,12.465891413881234,13.308842050657763,7.118335433558829
3.016,258,290,14.09420377003678,12.465891413881234,13.280047591959008,6.877548808353504
3.122,246,290,14.8169690908872,12.465891413881234,13.641430252384218,9.879201432214174
3.227,249,284,14.629582181593324,12.742568600639562,13.686075391116443,7.957178910507183
3.333,249,291,14.629582181593324,12.420915261790773,13.525248721692048,9.291556051686426
3.436,249,289,14.629582181593324,12.511186628512755,13.57038440505304,8.918027350438804
3.541,245,278,14.880476858356566,13.031493797704442,13.955985328030504,7.7988047493475685
3.645,245,279,14.880476858356566,12.982454941030113,13.93146589969334,8.002999265512209
3.750,256,284,14.20984281103498,12.742568600639562,13.47620570583727,6.2029567419865135
3.856,249,284,14.629582181593324,12.742568600639562,13.686075391116443,7.957178910507183
3.960,249,284,14.629582181593324,12.742568600639562,13.686075391116443,7.957178910507183
4.063,245,284,14.880476858356566,12.742568600639562,13.811522729498064,8.998833737249084
4.167,264,290,13.758057308910523,12.465891413881234,13.111974361395879,5.467466159785835
4.271,256,290,14.20984281103498,12.465891413881234,13.337867112458106,7.360794886555013
4.374,256,290,14.20984281103498,12.465891413881234,13.337867112458106,7.360794886555013
4.476,218,290,16.821391515985525,12.465891413881234,14.64364146493338,17.881239030900247
4.582,237,273,15.40832655519382,13.282213534215732,14.345270044704776,8.949991370531032
4.683,239,278,15.272967984459191,13.031493797704442,14.152230891081818,9.427111895439381
4.788,252,278,14.446767036227143,13.031493797704442,13.739130416965793,5.984745177248657
4.893,245,278,14.880476858356566,13.031493797704442,13.955985328030504,7.7988047493475685
4.995,222,278,16.503293151476633,13.031493797704442,14.767393474590538,14.422249166888907
5.096,231,278,15.828824301362369,13.031493797704442,14.430159049533405,11.706571859459798
5.200,233,276,15.686191776036141,13.130664389271447,14.408428082653794,10.71915984316539
5.305,227,272,16.121820719183283,13.333491492129468,14.727656105656376,11.6699371414322
5.409,233,271,15.686191776036141,13.385157381754983,14.535674578895563,9.67293487953666
5.510,234,278,15.615812548217352,13.031493797704442,14.323653172960897,10.837080842918773
5.611,241,278,15.13991171470079,13.031493797704442,14.085702756202616,8.876693927381949
5.716,242,278,15.074228810136054,13.031493797704442,14.052861303920249,8.604364813832897
5.822,236,283,15.476887802812112,12.789850853863655,14.133369328337883,11.257021855761977
5.926,235,284,15.546047201405642,12.742568600639562,14.144307901022602,11.731588711872476
6.032,237,283,15.40832655519382,12.789850853863655,14.099088704528738,10.976857234043182
6.133,237,279,15.40832655519382,12.982454941030113,14.195390748111967,10.187001281385331
6.237,234,279,15.615812548217352,12.982454941030113,14.299133744623733,11.037715426031872
6.342,234,279,15.615812548217352,12.982454941030113,14.299133744623733,11.037715426031872
6.447,248,272,14.691528180832794,13.333491492129468,14.012509836481131,5.744362198849108
6.550,239,283,15.272967984459191,12.789850853863655,14.031409419161424,10.422184174199295
6.652,231,283,15.828824301362369,12.789850853863655,14.309337577613011,12.686335529148813
6.755,233,272,15.686191776036141,13.333491492129468,14.509841634082804,9.885885135914158
6.859,234,266,15.615812548217352,13.649461532374792,14.632637040296071,8.287175138585228
6.964,244,278,14.944518249744908,13.031493797704442,13.988006023724676,8.06542820496229
7.069,250,278,14.568144088653298,13.031493797704442,13.79981894317887,6.4937973388828265
7.171,250,278,14.568144088653298,13.031493797704442,13.79981894317887,6.4937973388828265
7.276,251,273,14.507207730859264,13.282213534215732,13.894710632537498,5.184837642974523
7.381,251,273,14.507207730859264,13.282213534215732,13.894710632537498,5.184837642974523
7.485,245,272,14.880476858356566,13.333491492129468,14.106984175243017,6.537095986984391
7.589,245,273,14.880476858356566,13.282213534215732,14.081345196286149,6.751812435605375
7.691,257,279,14.15179268743429,12.982454941030113,13.5671238142322,4.950467728544445
7.796,245,270,14.880476858356566,13.437215585688614,14.15884622202259,6.102213365091921
7.898,233,273,15.686191776036141,13.282213534215732,14.484202655125937,10.096964063549992
7.999,249,273,14.629582181593324,13.282213534215732,13.955897857904528,5.6995356892116025
8.101,249,276,14.629582181593324,13.130664389271447,13.880123285432386,6.335654686548191
8.205,244,279,14.944518249744908,12.982454941030113,13.963486595387511,8.269354789279808
8.311,244,278,14.944518249744908,13.031493797704442,13.988006023724676,8.06542820496229
8.416,226,273,16.19673125765058,13.282213534215732,14.739472395933156,12.182622516798624
8.522,226,279,16.19673125765058,12.982454941030113,14.589593099340346,13.392460008564573
8.625,240,283,15.206155719066633,12.789850853863655,13.998003286465144,10.147663937861411
8.729,240,284,15.206155719066633,12.742568600639562,13.974362159853097,10.341988130353997
8.834,248,284,14.691528180832794,12.742568600639562,13.717048390736178,8.214883769606638
8.938,248,278,14.691528180832794,13.031493797704442,13.861510989268618,7.0102134067831825
9.041,253,278,14.386816029962976,13.031493797704442,13.709154913833709,5.732956872594409
9.144,234,279,15.615812548217352,12.982454941030113,14.299133744623733,11.037715426031872
9.249,245,279,14.880476858356566,12.982454941030113,13.93146589969334,8.002999265512209
9.351,258,267,14.09420377003678,13.595788906632949,13.844996338334864,2.1143780546480793
9.456,238,279,15.340355793978029,12.982454941030113,14.16140536750407,9.907305043513723
9.561,244,284,14.944518249744908,12.742568600639562,13.843543425192234,9.263788065246072
9.667,244,284,14.944518249744908,12.742568600639562,13.843543425192234,9.263788065246072
9.772,252,266,14.446767036227143,13.649461532374792,14.048114284300969,3.3799435069013444
9.875,257,282,14.15179268743429,12.837476856014685,13.494634771724488,5.560605399796926
9.979,263,289,13.812990129116406,12.511186628512755,13.16208837881458,5.507995341821731
10.083,258,289,14.09420377003678,12.511186628512755,13.302695199274767,6.6879916432172655
10.188,258,278,14.09420377003678,13.031493797704442,13.56284878387061,4.500999371553326
10.294,261,289,13.924150369679795,12.511186628512755,13.217668499096275,5.9750497487809655
10.396,261,284,13.924150369679795,12.742568600639562,13.33335948515968,5.0020419674790055
10.501,252,279,14.446767036227143,12.982454941030113,13.714610988628628,6.190531614797281
10.606,256,278,14.20984281103498,13.031493797704442,13.620668304369712,4.98842574873809
10.708,256,278,14.20984281103498,13.031493797704442,13.620668304369712,4.98842574873809
10.810,240,278,15.206155719066633,13.031493797704442,14.118824758385538,9.150940495428555
10.912,240,273,15.206155719066633,13.282213534215732,14.244184626641182,8.110847252355539
11.016,239,283,15.272967984459191,12.789850853863655,14.031409419161424,10.422184174199295
11.120,248,283,14.691528180832794,12.789850853863655,13.740689517348224,8.01821201991622
11.225,248,277,14.691528180832794,13.080895610023106,13.88621189542795,6.80357796536504
11.329,240,279,15.206155719066633,12.982454941030113,14.094305330048373,9.353687340561315
11.431,242,272,15.074228810136054,13.333491492129468,14.203860151132762,7.347377407875168
11.536,238,272,15.340355793978029,13.333491492129468,14.336923643053748,8.455474244651585
11.641,238,290,15.340355793978029,12.465891413881234,13.903123603929632,12.020102052964472
11.744,242,279,15.074228810136054,12.982454941030113,14.028341875583084,8.807723469305548
11.848,250,273,14.568144088653298,13.282213534215732,13.925178811434515,5.4412416520557825
11.950,242,273,15.074228810136054,13.282213534215732,14.178221172175892,7.561344504705028
12.055,242,261,15.074228810136054,13.924150369679795,14.499189589907925,4.869327487191511
12.160,257,267,14.15179268743429,13.595788906632949,13.87379079703362,2.3584204540635816
12.263,241,272,15.13991171470079,13.333491492129468,14.23670160341513,7.621414017327481
12.369,241,272,15.13991171470079,13.333491492129468,14.23670160341513,7.621414017327481
12.470,245,272,14.880476858356566,13.333491492129468,14.106984175243017,6.537095986984391
12.575,245,273,14.880476858356566,13.282213534215732,14.081345196286149,6.751812435605375
12.676,268,284,13.54252679805641,12.742568600639562,13.142547699347986,3.3911626249341893
12.782,268,290,13.54252679805641,12.465891413881234,13.004209105968823,4.559731916009948
12.887,235,284,15.546047201405642,12.742568600639562,14.144307901022602,11.731588711872476
12.991,233,272,15.686191776036141,13.333491492129468,14.509841634082804,9.885885135914158
13.095,237,272,15.40832655519382,13.333491492129468,14.370909023661644,8.737505152587907
13.199,237,278,15.40832655519382,13.031493797704442,14.219910176449131,9.985257394045432
13.301,257,278,14.15179268743429,13.031493797704442,13.591643242569365,4.743826589704412
13.406,244,280,14.944518249744908,12.933775086729966,13.939146668237438,8.471580035899878
13.509,233,284,15.686191776036141,12.742568600639562,14.214380188337852,12.300596219334222
13.614,234,284,15.615812548217352,12.742568600639562,14.179190574428457,12.015146928264729
13.720,234,289,15.615812548217352,12.511186628512755,14.063499588365055,12.951256624978603
13.825,245,285,14.880476858356566,12.695626417949255,13.788051638152911,9.19308323194067
13.927,245,279,14.880476858356566,12.982454941030113,13.93146589969334,8.002999265512209
14.033,243,273,15.009099963488245,13.282213534215732,14.145656748851987,7.289546304173001
14.134,233,272,15.686191776036141,13.333491492129468,14.509841634082804,9.885885135914158
14.238,228,272,16.047583644442135,13.333491492129468,14.690537568285801,11.367429520267377
14.343,233,276,15.686191776036141,13.130664389271447,14.408428082653794,10.71915984316539
14.445,237,278,15.40832655519382,13.031493797704442,14.219910176449131,9.985257394045432
14.551,237,272,15.40832655519382,13.333491492129468,14.370909023661644,8.737505152587907
14.656,252,267,14.446767036227143,13.595788906632949,14.021277971430045,3.6068911220374718
14.761,260,261,13.980387915767539,13.924150369679795,13.952269142723667,0.2386781779710897
14.865,262,261,13.868352808128094,13.924150369679795,13.896251588903944,-0.2368108577547601
14.971,257,260,14.15179268743429,13.980387915767539,14.066090301600914,0.727425358307201
