Time,Distance(mm.)
1784522603348.09,969
1784522603448.9119,959
1784522603546.367,991
1784522603666.8347,988
1784522603766.8792,976
1784522603866.314,968
1784522603966.2039,956
1784522604066.0452,977
1784522604166.112,966
1784522604266.373,973
1784522604366.43,978
1784522604468.7979,956
1784522604569.57,924
1784522604668.621,896
1784522604767.5112,890
1784522604886.166,835
1784522605000.484,845
1784522605086.5103,788
1784522605188.155,737
1784522605286.1472,724
1784522605388.653,682
1784522605488.7302,658
1784522605588.202,617
1784522605689.524,586
1784522605788.696,549
1784522605888.4978,511
1784522605987.4492,479
1784522606086.323,443
1784522606189.507,410
1784522606288.1868,393
