Time,acc_x,acc_y,acc_z
1784522603327.5579,-0.02158,0.01463,-1.00375
1784522603426.2058,-0.02143,0.01432,-1.00579
1784522603526.4312,-0.02108,0.01605,-1.0037
1784522603646.652,-0.02132,0.01331,-1.00409
1784522603746.718,-0.02315,0.01476,-1.00379
1784522603846.4302,-0.02124,0.01386,-1.00385
1784522603946.2568,-0.02058,0.01396,-1.00368
1784522604046.266,-0.02037,0.01521,-1.00373
1784522604146.0962,-0.02149,0.01404,-1.0038
1784522604246.0642,-0.02202,0.01532,-1.00473
1784522604346.632,-0.02066,0.01518,-1.00603
1784522604446.666,0.24161,0.02299,-1.00544
1784522604546.7488,0.06761,0.06895,-0.9683
1784522604646.4219,-0.2158,-0.05068,-0.99513
1784522604746.7031,0.19901,-0.00395,-0.97256
1784522604868.3462,-0.13154,0.03785,-1.00149
1784522604966.5688,-0.00757,0.01295,-1.00728
1784522605068.0298,0.0843,0.02439,-1.00548
1784522605168.215,-0.18073,-0.01155,-1.0155
1784522605267.383,0.12867,0.01086,-1.00771
1784522605368.2402,-0.06336,0.01702,-1.01708
1784522605467.4229,-0.0701,0.02295,-1.02972
1784522605567.6282,0.08735,0.02084,-0.96495
1784522605666.762,-0.15414,0.01622,-1.01235
1784522605767.236,0.08403,0.04432,-1.02793
1784522605867.093,-0.02845,0.02474,-0.9716
1784522605967.4329,-0.07806,0.05186,-1.00653
1784522606066.7961,0.07427,0.00865,-1.00673
1784522606167.017,-0.23238,0.02668,-0.96716
1784522606266.937,0.05554,0.00689,-1.02222
