Time,acc_x,acc_y,acc_z
1784522252085.979,-0.00844,0.01502,-1.00464
1784522252184.796,-0.00865,0.01575,-1.00413
1784522252285.3079,-0.00702,0.01428,-1.00375
1784522252384.581,-0.00862,0.01473,-1.00452
1784522252485.0151,-0.00751,0.01373,-1.00359
1784522252585.7532,-0.00807,0.01362,-1.00296
1784522252685.44,-0.00809,0.01402,-1.00459
1784522252785.374,-0.00767,0.01636,-1.00366
1784522252884.974,-0.00659,0.01521,-1.00591
1784522252985.9578,-0.00757,0.01521,-1.00438
1784522253109.8572,-0.00817,0.01433,-1.00233
1784522253205.046,0.27784,0.00965,-0.98735
1784522253305.086,-0.14932,0.00196,-1.0089
1784522253404.8582,-0.01741,0.02629,-1.00447
1784522253504.548,0.17166,0.00113,-0.99677
1784522253606.609,-0.22365,-0.01536,-1.00638
1784522253704.618,0.15357,-0.00283,-1.03865
1784522253824.507,-0.04791,-0.00775,-0.98968
1784522253926.314,-0.06074,0.02462,-0.9685
1784522254025.274,0.15328,0.06017,-1.02169
1784522254124.774,-0.16406,0.0002,-0.99525
1784522254226.7048,0.07875,0.01962,-1.01235
1784522254328.725,0.00899,-0.00994,-1.00727
1784522254427.9038,-0.10744,0.01176,-0.97183
1784522254526.84,0.11184,0.0394,-1.00994
1784522254626.027,-0.11345,-0.01243,-1.01968
1784522254726.306,0.01192,0.04088,-0.9906
1784522254844.9521,0.02514,-0.03327,-1.02989
1784522254944.4238,-0.11391,-0.01436,-0.98805
1784522255044.674,0.07515,0.01181,-1.00049
1784522255145.044,-0.04982,0.03709,-1.00203
1784522255245.197,-0.20712,-0.01297,-0.99119
1784522255345.957,0.07207,0.03771,-1.016
1784522255464.89,-0.19687,0.00639,-0.99952
1784522255565.101,-0.11898,0.20144,-1.03382
1784522255665.209,-0.14353,0.00546,-0.99802
1784522255765.1829,0.0674,-0.04005,-0.99774
1784522255865.1672,0.10798,0.00973,-1.00939
1784522255964.8262,-0.02049,0.02884,-0.99688
1784522256065.3062,-0.08963,0.02997,-1.01396
1784522256164.975,-0.04574,-0.04007,-0.99207
1784522256265.2512,0.05392,0.01576,-1.00701
1784522256365.4358,0.01221,0.02636,-1.00675
1784522256470.251,-0.02074,0.06113,-0.99005
1784522256564.238,-0.04436,-0.01763,-1.00754
1784522256664.6343,-0.00703,0.00088,-0.98639
1784522256765.7017,0.02845,0.01039,-1.00547
1784522256864.9631,0.00508,0.03175,-0.98215
1784522256965.502,-0.03417,0.02866,-0.99862
1784522257065.161,-0.00912,-0.01906,-1.01386
1784522257165.1,-0.0172,-0.01585,-1.00973
1784522257285.2212,-0.00223,0.0382,-1.00681
1784522257385.468,-0.03058,0.00277,-1.01779
