Time,gyro_x,gyro_y,gyro_z
1784522252085.979,-0.00331,0.00596,0.00207
1784522252184.796,-0.00502,0.00546,-0.00069
1784522252285.3079,-0.00146,0.00866,0.00114
1784522252384.581,-0.00366,0.00751,0.00188
1784522252485.0151,-0.00322,0.00776,0.00319
1784522252585.7532,-0.00384,0.00524,0.0022
1784522252685.44,-0.0012,0.00861,0.00146
1784522252785.374,-0.00272,0.00779,0.00137
1784522252884.974,-0.00436,0.00705,0.00065
1784522252985.9578,0.0009,0.00818,-0.00049
1784522253109.8572,-0.00595,0.00624,0.00053
1784522253205.046,0.0273,0.0314,0.01991
1784522253305.086,-0.01219,0.01032,-0.00359
1784522253404.8582,-0.01826,0.04219,-0.02108
1784522253504.548,-0.01128,-0.02162,0.0263
1784522253606.609,0.02057,0.0129,0.01281
1784522253704.618,0.00215,-0.00534,0.0239
1784522253824.507,-0.01631,-0.05723,0.01732
1784522253926.314,0.00533,0.03918,-0.00853
1784522254025.274,-0.02171,0.00604,-0.02142
1784522254124.774,-0.01171,-0.00023,0.01132
1784522254226.7048,-0.02151,0.03152,0.01309
1784522254328.725,-0.00147,-0.07143,0.01083
1784522254427.9038,0.01127,0.00455,-0.02755
1784522254526.84,-0.00984,-0.01918,-0.00679
1784522254626.027,0.06338,-0.0012,0.02108
1784522254726.306,-0.01029,0.04483,-0.00419
1784522254844.9521,0.0152,0.00875,0.0229
1784522254944.4238,-0.02591,0.01393,0.02679
1784522255044.674,0.05323,0.03692,0.00614
1784522255145.044,0.01038,-0.07196,-0.02992
1784522255245.197,-0.00942,0.02088,0.02694
1784522255345.957,-0.00462,0.00934,-0.05215
1784522255464.89,0.00513,0.00791,-0.03971
1784522255565.101,0.05117,-0.07501,-0.4689
1784522255665.209,-0.00278,0.0123,-0.63459
1784522255765.1829,-0.02242,0.04709,-0.76592
1784522255865.1672,-0.01704,-0.04601,-0.78734
1784522255964.8262,-0.0127,0.01377,-0.79795
1784522256065.3062,0.00584,0.00915,-0.77474
1784522256164.975,-0.05543,0.04941,-0.79312
1784522256265.2512,-0.01123,0.00444,-0.77569
1784522256365.4358,0.01126,-0.0089,-0.83253
1784522256470.251,0.00715,0.02554,-0.80231
1784522256564.238,0.00375,0.00856,-0.75501
1784522256664.6343,-0.01378,0.03401,-0.86812
1784522256765.7017,-0.01378,0.00468,-0.70869
1784522256864.9631,0.01593,0.01492,-0.8248
1784522256965.502,-0.02389,0.0394,-0.81344
1784522257065.161,0.01268,0.00476,-0.71984
1784522257165.1,-0.0266,0.01572,-0.78037
1784522257285.2212,-0.01737,0.01352,-0.78546
1784522257385.468,-0.01344,-0.00374,-0.77485
