Time,Distance(mm.)
1784522252105.049,4383
1784522252204.63,4383
1784522252305.196,4380
1784522252404.4648,4383
1784522252505.18,4381
1784522252604.985,4383
1784522252705.17,4382
1784522252804.965,4383
1784522252906.6328,4382
1784522253005.125,4381
1784522253125.1353,4381
1784522253224.6667,4383
1784522253324.9668,4348
1784522253424.9202,4321
1784522253528.0168,4302
1784522253626.215,4261
1784522253724.15,4238
1784522253845.5032,4205
1784522253944.724,4172
1784522254044.631,4143
1784522254145.845,4108
1784522254245.035,4075
1784522254345.1362,4042
1784522254445.816,4001
1784522254545.357,3953
1784522254645.161,3928
1784522254745.171,3881
1784522254846.573,3837
1784522254964.473,3801
1784522255064.7502,3766
1784522255164.635,3719
1784522255264.899,3693
1784522255371.354,3668
1784522255484.746,3643
1784522255584.938,3608
1784522255684.936,3553
1784522255785.409,3586
1784522255890.937,3589
1784522255984.556,3613
1784522256084.387,3283
1784522256184.875,2739
1784522256284.811,3389
1784522256384.9758,4226
1784522256485.01,4412
1784522256584.1392,2390
1784522256684.188,1613
1784522256785.016,1434
1784522256884.747,1122
1784522256985.301,958
1784522257084.814,906
1784522257184.9722,868
1784522257305.137,846
1784522257404.736,831
