Time,gyro_x,gyro_y,gyro_z
1784522274367.887,-0.00204,0.00699,0.00048
1784522274465.025,-0.00412,0.00764,0.00071
1784522274565.545,-0.00439,0.00696,0.00293
1784522274665.576,-0.00036,0.00676,0.00139
1784522274766.9739,-0.002,0.00805,0.00242
1784522274868.0771,-0.00267,0.00608,0.00274
1784522274965.238,-0.00351,0.00819,-0.00087
1784522275065.107,-0.00338,0.00642,0.00214
1784522275165.239,-0.00356,0.00773,0.00083
1784522275285.527,-0.00692,0.0054,0.00205
1784522275385.668,-0.00466,0.00757,0.00247
1784522275485.9531,-0.00211,0.05657,-0.00445
1784522275585.44,-0.00744,0.01945,-0.00202
1784522275685.875,0.02558,-0.04961,-0.03441
1784522275786.175,-0.01442,0.05232,0.01155
1784522275885.267,-0.02436,-0.0855,0.02359
1784522275985.784,-0.00931,0.04429,-0.02718
1784522276085.56,-0.01509,-0.00955,0.01469
1784522276185.72,0.02543,0.03019,-0.00131
1784522276285.9531,0.0113,0.06138,-0.03832
1784522276391.0261,0.02176,-0.02789,0.02094
1784522276486.2368,-0.0252,-0.00458,-0.0111
1784522276586.5269,-0.01264,0.01274,-0.00445
1784522276685.634,0.01353,0.01012,-0.013
1784522276807.5461,0.01765,-0.00461,0.01865
1784522276906.126,-0.00291,0.02031,-0.00663
1784522277006.997,-0.01524,-0.0262,0.01432
1784522277107.0889,-0.00868,-0.00959,-0.01449
1784522277206.879,0.00153,0.0052,-0.01475
1784522277309.361,-0.01006,-0.01479,0.00935
1784522277406.893,-0.0251,0.02618,-0.01999
1784522277525.8582,-0.04131,-0.04972,0.04068
1784522277625.7588,0.02207,0.02618,-0.02761
1784522277725.6948,-0.01451,0.00175,0.01149
1784522277825.223,0.01322,-0.03126,-0.03148
1784522277925.059,-0.01632,0.06327,0.56683
1784522278025.3508,0.00138,0.01403,0.72172
1784522278125.85,-0.00153,0.00597,0.74714
1784522278226.3523,-0.00432,0.00278,0.81297
1784522278325.284,-0.023,-0.00898,0.75763
1784522278425.739,0.18123,-0.04799,0.62545
1784522278525.2532,0.00728,0.0262,0.74407
1784522278646.147,-0.01153,-0.00634,0.94229
1784522278745.5261,0.20059,-0.11628,0.45485
1784522278845.6309,-0.08962,0.08121,0.91129
1784522278945.64,-0.0029,-0.024,0.87936
1784522279045.867,0.11002,-0.03717,0.5703
1784522279145.345,-0.04141,0.03525,0.86241
1784522279245.7659,0.02872,-0.03002,0.70981
1784522279345.769,0.02222,-0.00135,0.77685
1784522279445.239,0.0082,-0.02542,0.83405
1784522279545.5942,0.01422,0.01388,0.79351
1784522279645.757,0.01722,-0.00307,0.81229
1784522279745.604,0.01831,-0.00217,0.71475
1784522279845.953,0.00646,-0.01008,0.83857
