Time,Distance(mm.)
1784522274385.049,3812
1784522274485.219,3810
1784522274585.728,3810
1784522274685.43,3811
1784522274790.284,3811
1784522274886.562,3811
1784522274985.975,3810
1784522275085.227,3810
1784522275185.234,3811
1784522275313.7988,3810
1784522275406.3628,3809
1784522275506.482,3792
1784522275606.7969,3772
1784522275705.999,3747
1784522275808.31,3718
1784522275905.609,3697
1784522276006.897,3657
1784522276108.662,3629
1784522276207.884,3595
1784522276307.325,3561
1784522276406.095,3524
1784522276506.729,3497
1784522276607.2268,3478
1784522276707.3928,3425
1784522276825.9048,3398
1784522276925.708,3356
1784522277025.706,3327
1784522277125.514,3291
1784522277225.6472,3257
1784522277325.5461,3219
1784522277427.067,3183
1784522277545.649,3149
1784522277645.553,3120
1784522277746.124,3097
1784522277845.0999,3077
1784522277945.354,3061
1784522278046.1372,3077
1784522278145.8079,3036
1784522278245.806,3090
1784522278345.6143,3128
1784522278445.824,3171
1784522278565.716,3260
1784522278665.537,3221
1784522278765.527,3012
1784522278866.2068,3199
1784522278965.9678,3373
1784522279068.32,2205
1784522279165.6792,2154
1784522279265.729,3043
1784522279365.871,1174
1784522279465.099,1071
1784522279567.034,1051
1784522279665.695,1087
1784522279765.815,1094
1784522279865.444,2559
