Time,acc_x,acc_y,acc_z
1784522274367.887,-0.01976,0.01402,-1.00492
1784522274465.025,-0.01647,0.01412,-1.00432
1784522274565.545,-0.01803,0.01303,-1.00295
1784522274665.576,-0.01855,0.01398,-1.00352
1784522274766.9739,-0.01515,0.01246,-1.00339
1784522274868.0771,-0.01907,0.01447,-1.00458
1784522274965.238,-0.01647,0.01425,-1.00482
1784522275065.107,-0.01765,0.01397,-1.00526
1784522275165.239,-0.01993,0.01303,-1.00541
1784522275285.527,-0.01661,0.01317,-1.00552
1784522275385.668,-0.01876,0.01424,-1.00318
1784522275485.9531,0.14188,0.01648,-1.0124
1784522275585.44,0.25586,0.00765,-0.99712
1784522275685.875,-0.20083,0.01668,-0.9678
1784522275786.175,0.10018,0.03148,-1.01151
1784522275885.267,0.04768,-0.01527,-1.01838
1784522275985.784,-0.17438,0.02428,-1.00596
1784522276085.56,0.18551,-0.00445,-1.02404
1784522276185.72,-0.13016,0.01512,-0.96026
1784522276285.9531,0.01599,0.05672,-0.97275
1784522276391.0261,0.08412,0.03557,-1.00501
1784522276486.2368,-0.16269,0.01384,-1.03488
1784522276586.5269,0.11439,0.00056,-0.99724
1784522276685.634,-0.04563,0.02299,-0.99088
1784522276807.5461,-0.05249,-0.00066,-1.03675
1784522276906.126,0.08868,0.0326,-0.99098
1784522277006.997,-0.13205,0.00798,-1.0223
1784522277107.0889,0.05746,0.02293,-1.02537
1784522277206.879,-0.0021,0.0492,-0.97349
1784522277309.361,-0.07075,0.04379,-1.00339
1784522277406.893,-0.08566,0.03094,-0.97972
1784522277525.8582,-0.04945,-0.03762,-1.04484
1784522277625.7588,-0.11072,0.01896,-1.01434
1784522277725.6948,-0.04034,0.02207,-1.03108
1784522277825.223,-0.08174,0.04999,-1.00295
1784522277925.059,-0.28601,-0.10057,-0.98691
1784522278025.3508,-0.12078,-0.01583,-1.01618
1784522278125.85,0.06475,0.03656,-1.00801
1784522278226.3523,0.0805,-0.02507,-1.00185
1784522278325.284,-0.02569,0.00292,-1.00084
1784522278425.739,-0.06429,0.16911,-1.00995
1784522278525.2532,-0.02145,0.06582,-1.01405
1784522278646.147,0.02992,-0.06632,-1.01062
1784522278745.5261,0.05288,0.17638,-1.10562
1784522278845.6309,-0.0064,-0.02088,-0.96947
1784522278945.64,-0.06157,-0.02071,-1.01146
1784522279045.867,-0.00061,0.20078,-1.03095
1784522279145.345,0.01141,-0.00472,-0.99716
1784522279245.7659,0.00632,0.02663,-0.99008
1784522279345.769,-0.0172,0.08269,-1.03694
1784522279445.239,-0.01358,-0.00333,-1.00848
1784522279545.5942,0.00757,-0.00845,-0.99998
1784522279645.757,-0.00387,0.0567,-0.98561
1784522279745.604,-0.01235,0.03251,-1.00642
1784522279845.953,-0.01086,-0.00506,-1.00694
