Time,acc_x,acc_y,acc_z
1784521899734.9163,-0.02049,0.01866,-1.0063
1784521899833.833,-0.02176,0.01864,-1.00308
1784521899936.933,-0.02103,0.01799,-1.00415
1784521900036.119,-0.02201,0.01883,-1.00539
1784521900134.1418,-0.02098,0.01713,-1.00579
1784521900234.5127,-0.02137,0.01833,-1.00577
1784521900333.935,-0.0212,0.01721,-1.00257
1784521900433.6519,-0.0231,0.01753,-1.00447
1784521900553.6929,-0.02245,0.01859,-1.00435
1784521900654.218,-0.02133,0.01708,-1.00426
1784521900754.023,-0.02248,0.0179,-1.00341
1784521900855.67,0.22383,-0.00188,-1.01214
1784521900956.126,0.08395,0.07502,-0.97403
1784521901054.54,-0.17116,0.0574,-0.97225
1784521901154.658,0.19455,0.03867,-1.00103
1784521901254.3271,-0.13003,0.021,-0.98832
1784521901354.248,0.00346,0.00278,-1.0264
1784521901474.515,0.06689,0.01346,-1.01924
1784521901574.341,-0.13653,0.00872,-1.00046
1784521901676.2612,0.09183,-0.005,-1.03427
1784521901775.407,-0.07094,0.02659,-0.98422
1784521901873.53,-0.0381,0.00308,-1.0122
1784521901974.357,0.06529,0.03377,-1.03889
1784521902074.4697,-0.10295,-0.00113,-1.01033
1784521902175.717,0.04815,0.00966,-0.99943
1784521902275.435,0.01978,0.05809,-0.96998
1784521902373.5051,-0.07104,-0.00171,-1.02256
1784521902494.184,0.08368,0.03262,-0.98615
1784521902594.665,-0.09551,0.02604,-1.01544
1784521902694.282,0.00641,0.00936,-1.01915
1784521902794.471,0.01925,0.04256,-0.99462
1784521902893.8071,-0.05861,-0.00193,-0.99891
1784521902994.972,0.04769,0.00908,-1.00704
1784521903094.363,-0.04247,0.0323,-1.01835
1784521903194.503,-0.03359,-0.00692,-1.02549
1784521903294.2842,0.02039,0.0017,-0.9835
1784521903395.987,-0.03623,0.07176,-1.00489
1784521903495.865,0.03555,0.00013,-0.98694
1784521903594.8533,-0.03723,0.03241,-1.00557
1784521903695.1758,-0.04459,-0.00128,-1.01839
1784521903795.683,0.03913,-0.0145,-1.00351
1784521903896.917,-0.08082,0.02791,-1.03009
1784521904015.203,0.04162,0.05309,-0.95661
1784521904115.4492,-0.01009,-0.00286,-1.02426
1784521904217.1353,-0.05215,-0.01702,-0.98287
1784521904317.302,-0.06031,-0.02112,-0.99313
1784521904417.2302,0.00065,0.05418,-1.01467
1784521904517.277,0.00036,0.004,-0.98643
1784521904616.6611,-0.05353,0.02504,-0.99767
1784521904716.3442,0.01667,-0.00334,-0.99637
1784521904817.2578,-0.02444,0.06428,-1.01417
1784521904915.79,-0.05661,-0.05781,-1.01754
1784521905015.855,0.01657,-0.00658,-1.02032
1784521905116.071,-0.03139,0.04697,-0.99068
1784521905215.2332,0.02345,0.04994,-1.01229
1784521905315.616,-0.00689,0.03943,-1.02907
1784521905416.831,-0.01867,0.01654,-0.98131
1784521905535.466,0.0199,0.03802,-1.01958
1784521905635.984,-0.03821,0.00809,-0.96838
1784521905736.158,-0.00798,0.00173,-0.99479
1784521905835.41,0.01334,0.01788,-1.00539
1784521905934.831,-0.05615,0.00805,-1.00243
1784521906034.93,0.01569,0.00964,-1.0129
1784521906135.243,-0.01882,0.03542,-1.0117
1784521906235.3,-0.04408,0.00123,-1.03977
1784521906335.646,-0.00102,-0.01027,-1.00786
1784521906435.1501,-0.04076,0.02463,-1.0069
1784521906535.8237,-0.01502,-0.0026,-0.99762
1784521906637.639,-0.00224,0.00583,-1.0112
1784521906754.81,-0.03552,0.02285,-0.99495
1784521906835.6963,-0.01185,0.01537,-1.02325
1784521906954.987,-0.02744,-0.04788,-1.03218
1784521907055.588,-0.01037,0.06036,-1.00605
1784521907155.536,-0.00926,-0.00674,-1.00191
1784521907255.319,-0.03032,-0.01257,-0.99707
1784521907355.5898,0.00821,0.04741,-1.00254
1784521907455.467,-0.02244,0.00303,-1.01061
1784521907555.676,-0.01246,-0.01368,-0.99735
1784521907655.166,-0.0087,-0.01197,-1.03531
1784521907755.468,-0.02071,0.04243,-1.01367
1784521907855.3213,-0.03545,-0.04739,-1.01576
1784521907976.23,0.00579,0.00157,-1.00939
1784521908076.274,-0.05585,0.02331,-1.01948
1784521908176.445,0.02513,0.01192,-1.00303
1784521908277.118,-0.04823,-0.03893,-1.03481
1784521908377.181,-0.02248,-0.00223,-1.0106
1784521908476.1072,0.00552,0.05186,-0.98758
1784521908596.6611,-0.03291,0.04255,-1.01439
1784521908706.1938,-0.01392,-0.05913,-1.02151
1784521908795.632,-0.01188,0.02901,-1.00016
1784521908895.9502,-0.04453,-0.00707,-1.0143
1784521908996.01,0.02014,0.05979,-1.02627
1784521909096.533,-0.03666,0.01514,-0.99428
1784521909196.647,-0.00898,-0.02578,-1.00774
1784521909296.715,0.00204,0.02443,-0.98107
1784521909396.436,-0.057,-0.01248,-0.99931
1784521909496.4348,0.01625,0.00426,-0.99003
1784521909595.92,-0.00423,0.05913,-0.97684
1784521909696.679,-0.0497,-0.01713,-0.97569
1784521909796.8098,-0.0088,0.02758,-1.0228
1784521909895.8608,-0.09962,0.11632,-0.99464
1784521910015.9412,-0.14656,0.11051,-0.98941
1784521910116.047,0.02904,0.00449,-1.0038
