Time,gyro_x,gyro_y,gyro_z
1784521899734.9163,-0.00349,0.00751,-1e-05
1784521899833.833,-0.00285,0.00844,0.00096
1784521899936.933,-0.00642,0.00412,-0.00035
1784521900036.119,-0.00405,0.00918,0.00051
1784521900134.1418,-0.00328,0.00384,-0.00068
1784521900234.5127,-0.00459,0.00776,0.00092
1784521900333.935,-0.00289,0.00571,-0.00189
1784521900433.6519,-0.00459,0.00964,0.00154
1784521900553.6929,-0.00285,0.00538,0.00145
1784521900654.218,-0.0038,0.00642,0.0023
1784521900754.023,-0.00118,0.01085,0.00201
1784521900855.67,-0.00657,-0.00881,-0.00341
1784521900956.126,0.03365,-0.04545,-0.02079
1784521901054.54,-0.01517,0.04163,-0.0414
1784521901154.658,0.0044,0.00474,-0.10587
1784521901254.3271,-0.00407,-0.00884,-0.00619
1784521901354.248,-0.00618,0.03451,-0.00595
1784521901474.515,-0.00072,-0.0547,0.00967
1784521901574.341,-0.00951,0.014,0.01554
1784521901676.2612,-0.01363,-0.0311,0.0379
1784521901775.407,-0.02924,0.00097,-0.01051
1784521901873.53,-0.02637,0.04117,-0.03312
1784521901974.357,0.01526,-0.0369,-0.01568
1784521902074.4697,-0.04328,0.02703,0.0033
1784521902175.717,-0.00658,0.05449,-0.00457
1784521902275.435,0.13208,-0.00898,-0.05989
1784521902373.5051,-0.00103,0.0201,0.01213
1784521902494.184,0.00568,0.04748,-0.00427
1784521902594.665,-0.0006,-0.01033,-0.01958
1784521902694.282,0.04528,0.01327,0.01807
1784521902794.471,-0.01058,0.0166,-0.03305
1784521902893.8071,0.00977,-0.01892,-0.00745
1784521902994.972,-0.01068,-0.00164,0.03006
1784521903094.363,0.00723,-0.02727,-0.02578
1784521903194.503,0.04523,0.00714,0.07491
1784521903294.2842,-0.02432,0.01083,-0.03932
1784521903395.987,-0.02045,-0.01007,-0.03465
1784521903495.865,0.03678,-0.00751,0.02591
1784521903594.8533,-0.00894,-0.02055,-0.03569
1784521903695.1758,0.06072,0.0107,0.05653
1784521903795.683,-0.02451,0.03037,0.01859
1784521903896.917,-0.01344,-0.04051,0.00785
1784521904015.203,0.03933,0.06269,-0.04813
1784521904115.4492,-0.04919,-0.04254,0.02143
1784521904217.1353,-0.01878,0.05323,0.05985
1784521904317.302,0.00369,0.0325,0.05034
1784521904417.2302,-0.02565,0.02511,-0.03643
1784521904517.277,0.01487,0.0319,-0.01619
1784521904616.6611,-0.02488,0.00767,0.0215
1784521904716.3442,-0.01747,0.03838,-0.01497
1784521904817.2578,-0.03518,0.01913,-0.02829
1784521904915.79,0.008,0.00354,0.11472
1784521905015.855,-0.03032,0.01784,-0.0299
1784521905116.071,0.00821,0.01351,-0.00207
1784521905215.2332,0.02191,-0.00444,-0.06256
1784521905315.616,0.00148,-0.03865,-0.02346
1784521905416.831,-0.06177,0.05737,0.02062
1784521905535.466,0.01113,-0.05083,-0.05633
1784521905635.984,-0.00895,-0.00462,0.01613
1784521905736.158,-0.01275,0.02005,-0.01782
1784521905835.41,0.02596,-0.0175,-0.01592
1784521905934.831,0.00295,0.0265,0.02909
1784521906034.93,-0.02419,0.01034,-0.0041
1784521906135.243,0.00292,0.00205,-0.01709
1784521906235.3,0.0001,-0.00967,0.0097
1784521906335.646,0.05918,0.02283,0.00661
1784521906435.1501,-0.03655,-0.0562,0.02268
1784521906535.8237,0.02052,0.00122,-0.01969
1784521906637.639,-0.0161,0.02067,0.02881
1784521906754.81,0.02493,0.01229,0.00316
1784521906835.6963,0.00418,0.02265,0.01415
1784521906954.987,-0.02444,-0.03187,0.01476
1784521907055.588,-0.022,0.04273,-0.04963
1784521907155.536,-0.01495,0.00146,0.02184
1784521907255.319,-0.00081,0.00854,0.0111
1784521907355.5898,-0.03487,0.03023,-0.0536
1784521907455.467,0.01473,-0.0203,-0.01554
1784521907555.676,0.00579,-0.00565,0.02373
1784521907655.166,-0.04227,0.01847,0.02575
1784521907755.468,-0.02193,0.01036,-0.03384
1784521907855.3213,-0.0296,0.04252,0.02551
1784521907976.23,-0.01634,0.02653,0.01028
1784521908076.274,0.00478,0.01463,-0.01475
1784521908176.445,-0.02639,0.03459,0.00198
1784521908277.118,-0.0064,-0.01856,0.02786
1784521908377.181,0.04111,-0.02074,0.00846
1784521908476.1072,-0.01084,-0.00076,-0.034
1784521908596.6611,-0.01278,0.03142,0.01371
1784521908706.1938,0.00268,-0.02438,0.03369
1784521908795.632,-0.02731,0.02729,0.01004
1784521908895.9502,0.022,0.06184,-0.03915
1784521908996.01,0.00638,-9e-05,-0.0244
1784521909096.533,0.002,0.01056,-0.02188
1784521909196.647,-0.00601,0.00383,-0.00689
1784521909296.715,-0.03638,0.00454,0.00929
1784521909396.436,0.00658,-0.03147,-0.02645
1784521909496.4348,-0.01249,0.04308,-0.00313
1784521909595.92,0.00517,-0.00935,-0.05055
1784521909696.679,-0.00965,0.03693,-0.06622
1784521909796.8098,-0.03958,-0.00762,0.0539
1784521909895.8608,0.01506,-0.01504,-0.01814
1784521910015.9412,-0.02342,-0.0082,-0.02079
1784521910116.047,0.01376,0.02724,0.00665
