Time,Distance(mm.)
1784521899754.092,4781
1784521899853.536,4768
1784521899953.583,4744
1784521900053.892,4752
1784521900154.1262,4743
1784521900260.191,4744
1784521900360.1223,4733
1784521900473.5098,4759
1784521900574.383,4762
1784521900674.9329,4740
1784521900775.7283,4748
1784521900874.124,4768
1784521900975.3862,4658
1784521901075.381,4659
1784521901173.929,4692
1784521901275.599,4627
1784521901374.905,4630
1784521901494.261,4590
1784521901594.198,4537
1784521901694.001,4496
1784521901794.3699,4451
1784521901895.6191,4483
1784521901994.621,4444
1784521902094.7312,4435
1784521902195.321,4397
1784521902293.9993,4352
1784521902393.62,4347
1784521902514.283,4263
1784521902614.504,4261
1784521902714.484,4237
1784521902816.047,4188
1784521902914.3438,4180
1784521903014.2788,4140
1784521903114.353,4112
1784521903215.028,4064
1784521903315.172,4042
1784521903415.394,4003
1784521903518.389,3967
1784521903614.887,3917
1784521903715.44,3909
1784521903815.015,3875
1784521903917.2148,3827
1784521904035.0232,3823
1784521904135.303,3754
1784521904235.511,3747
1784521904335.0808,3692
1784521904435.2178,3675
1784521904535.871,3658
1784521904635.23,3591
1784521904736.221,3585
1784521904835.129,3552
1784521904934.5432,3500
1784521905035.064,3462
1784521905135.447,3427
1784521905235.2588,3424
1784521905335.187,3384
1784521905435.268,3339
1784521905555.626,3308
1784521905655.565,3281
1784521905755.356,3249
1784521905855.7131,3226
1784521905954.732,3187
1784521906054.868,3159
1784521906155.415,3107
1784521906255.5398,3103
1784521906355.247,3074
1784521906455.321,3011
1784521906575.867,3001
1784521906655.5981,2965
1784521906755.637,2925
1784521906855.3757,2911
1784521906975.1868,2861
1784521907075.9932,2839
1784521907175.534,2798
1784521907275.126,2782
1784521907375.658,2745
1784521907475.8457,2707
1784521907575.713,2680
1784521907675.71,2622
1784521907775.858,2611
1784521907876.051,2579
1784521907996.5288,2524
1784521908096.517,2504
1784521908202.989,2479
1784521908296.17,2445
1784521908396.2021,2403
1784521908515.5588,2368
1784521908616.021,2352
1784521908716.9658,2323
1784521908815.649,2292
1784521908915.622,2277
1784521909015.916,2250
1784521909116.1611,2205
1784521909217.692,2181
1784521909315.99,2159
1784521909415.978,2131
1784521909516.2803,2112
1784521909616.089,2080
1784521909715.9988,2058
1784521909816.581,2028
1784521909936.1228,2009
1784521910037.163,1987
1784521910136.3787,1982
