Time,acc_x,acc_y,acc_z
1784522661413.106,-0.01368,0.01872,-1.00325
1784522661512.4019,-0.0149,0.01886,-1.00374
1784522661612.1,-0.01332,0.01839,-1.00222
1784522661711.596,-0.01275,0.01913,-1.00335
1784522661812.111,-0.01367,0.01746,-1.00383
1784522661911.867,-0.0124,0.0177,-1.00529
1784522662011.716,-0.01206,0.01949,-1.00509
1784522662111.5571,-0.01238,0.01772,-1.00366
1784522662211.678,-0.01464,0.01845,-1.00404
1784522662312.644,-0.01452,0.0195,-1.00471
1784522662432.0178,-0.01226,0.01833,-1.0057
1784522662531.5762,-0.01489,0.0176,-1.00477
1784522662632.344,-0.0128,0.01847,-1.00431
1784522662732.5881,-0.01169,0.01765,-1.0056
1784522662832.119,-0.01424,0.01811,-1.00416
1784522662932.3142,-0.01249,0.01924,-1.00266
1784522663032.906,-0.01225,0.01792,-1.00652
1784522663131.856,-0.01347,0.01737,-1.00483
1784522663232.6982,-0.01264,0.01842,-1.0047
1784522663331.858,-0.01218,0.01861,-1.0051
1784522663431.8608,-0.01417,0.01858,-1.00371
1784522663532.584,-0.01358,0.02069,-1.00498
1784522663633.357,-0.01255,0.01785,-1.00381
1784522663732.2432,-0.01323,0.01794,-1.00343
1784522663832.382,-0.01275,0.01943,-1.00308
1784522663932.306,-0.01337,0.01692,-1.00435
1784522664032.468,-0.0135,0.01924,-1.0033
1784522664152.1877,-0.01292,0.01855,-1.00327
1784522664252.5872,-0.01287,0.01847,-1.00179
1784522664353.662,-0.01355,0.01782,-1.00456
1784522664454.8591,-0.01411,0.01885,-1.00437
1784522664554.891,-0.01224,0.01938,-1.00364
1784522664654.318,-0.01373,0.01897,-1.00469
1784522664754.7039,-0.01384,0.01893,-1.00525
1784522664853.032,-0.01282,0.01943,-1.00431
1784522664973.313,-0.0127,0.01852,-1.00587
1784522665073.3472,-0.01359,0.01876,-1.0023
1784522665173.244,-0.01366,0.01838,-1.0053
1784522665273.1477,-0.0138,0.01636,-1.00317
1784522665373.26,-0.01342,0.01865,-1.00528
1784522665472.8691,-0.01352,0.01944,-1.00488
1784522665573.4558,-0.01299,0.01882,-1.00338
1784522665672.8809,-0.01518,0.01774,-1.00391
1784522665773.261,-0.01396,0.02163,-1.00453
1784522665873.866,-0.01329,0.01898,-1.00429
1784522665994.294,-0.01384,0.0166,-1.00475
1784522666094.402,-0.01411,0.0179,-1.00614
1784522666194.676,-0.01287,0.0176,-1.00506
1784522666294.325,-0.01341,0.01852,-1.00368
1784522666394.573,-0.0141,0.01846,-1.00233
1784522666494.487,-0.01403,0.01799,-1.00264
1784522666594.349,-0.01391,0.01849,-1.00473
1784522666694.51,-0.01343,0.01755,-1.00629
1784522666814.0327,-0.0124,0.01961,-1.00331
1784522666913.553,-0.01368,0.01849,-1.00689
1784522667014.546,-0.01471,0.01912,-1.00376
1784522667114.297,-0.01187,0.01929,-1.00415
1784522667214.3218,-0.01406,0.01899,-1.00473
1784522667314.308,-0.01398,0.01746,-1.00376
1784522667414.3647,-0.01322,0.01809,-1.00493
1784522667534.786,-0.01433,0.01723,-1.0051
1784522667638.227,-0.01417,0.01857,-1.0045
1784522667734.444,-0.01374,0.01682,-1.0052
1784522667834.548,-0.01442,0.0201,-1.00524
1784522667935.615,-0.01406,0.01761,-1.00448
1784522668034.55,-0.013,0.01828,-1.00253
1784522668134.3691,-0.01272,0.01877,-1.00513
1784522668234.3118,-0.01395,0.01912,-1.00528
1784522668333.587,-0.01201,0.01899,-1.00544
1784522668433.682,-0.0149,0.01878,-1.00466
1784522668555.328,-0.01415,0.01851,-1.00482
1784522668655.393,-0.01317,0.01772,-1.0049
1784522668755.046,-0.01515,0.0171,-1.00381
1784522668855.248,-0.01285,0.01767,-1.00315
1784522668956.0352,-0.01259,0.01899,-1.00458
1784522669074.6748,-0.01314,0.01733,-1.0056
1784522669174.388,-0.01226,0.01911,-1.00542
1784522669274.403,-0.0127,0.01937,-1.0042
1784522669374.614,-0.01306,0.0187,-1.00503
1784522669474.505,-0.01392,0.01774,-1.00374
1784522669574.3042,-0.01299,0.01786,-1.00589
