Time,gyro_x,gyro_y,gyro_z
1784522661413.106,-0.00226,0.00777,0.00265
1784522661512.4019,-0.00484,0.00757,0.00208
1784522661612.1,-0.00398,0.00675,0.00076
1784522661711.596,-0.00447,0.00731,0.00226
1784522661812.111,-0.00229,0.00885,0.0046
1784522661911.867,-0.00267,0.00612,0.00013
1784522662011.716,-0.00248,0.00748,0.00267
1784522662111.5571,-0.00155,0.00954,0.0019
1784522662211.678,-0.00126,0.00686,0.00169
1784522662312.644,-0.00326,0.00648,0.00148
1784522662432.0178,-0.00461,0.0064,0.00268
1784522662531.5762,-0.00321,0.00943,0.00207
1784522662632.344,-0.00341,0.00741,0.00138
1784522662732.5881,-0.00292,0.00728,-0.00024
1784522662832.119,-0.00404,0.00724,0.0038
1784522662932.3142,-0.00297,0.00881,0.0014
1784522663032.906,-0.00047,0.00714,0.0011
1784522663131.856,-0.00372,0.00842,0.00087
1784522663232.6982,-0.00388,0.00829,0.00242
1784522663331.858,-0.00405,0.00562,0.00088
1784522663431.8608,-0.00187,0.00709,0.00226
1784522663532.584,-0.00165,0.0087,0.00115
1784522663633.357,-0.00646,0.00573,-0.00084
1784522663732.2432,-0.00011,0.00723,0.00153
1784522663832.382,-0.0013,0.007,0.00069
1784522663932.306,-0.00165,0.00802,0.00093
1784522664032.468,-0.00444,0.00693,0.00158
1784522664152.1877,-0.00517,0.0087,0.00068
1784522664252.5872,-0.00161,0.00976,0.00143
1784522664353.662,-0.00488,0.00727,0.00221
1784522664454.8591,-0.00073,0.00576,0.001
1784522664554.891,-0.00434,0.0096,0.00143
1784522664654.318,-0.00231,0.00934,0.00204
1784522664754.7039,-0.0007,0.00576,0.00034
1784522664853.032,-0.00278,0.00583,0.00183
1784522664973.313,-0.00553,0.0058,0.00427
1784522665073.3472,-0.00259,0.00589,0.00162
1784522665173.244,-0.00136,0.00632,2e-05
1784522665273.1477,0.00023,0.00844,0.0023
1784522665373.26,-0.00036,0.00821,0.00219
1784522665472.8691,-0.00592,0.00609,0.0021
1784522665573.4558,-0.00443,0.00687,0.00162
1784522665672.8809,-0.00205,0.00776,0.00378
1784522665773.261,-0.0021,0.00898,-0.00077
1784522665873.866,-0.00287,0.00495,0.00131
1784522665994.294,-0.00642,0.00879,-0.00065
1784522666094.402,-0.00399,0.00715,0.00302
1784522666194.676,-0.00466,0.00793,0.00164
1784522666294.325,-0.00278,0.00772,0.00192
1784522666394.573,-0.00169,0.00954,0.00338
1784522666494.487,-0.00394,0.00651,0.00128
