Time,Distance(mm.)
1784522673755.0,327
1784522673858.07,325
1784522673954.1812,331
1784522674055.401,330
1784522674155.752,327
1784522674255.4062,329
1784522674356.4841,332
1784522674455.1199,330
1784522674555.4558,331
1784522674655.593,327
1784522674755.574,328
1784522674865.507,328
1784522674974.1619,331
1784522675074.1428,330
1784522675174.17,328
1784522675273.887,329
1784522675374.177,330
1784522675474.026,328
1784522675573.993,329
1784522675673.491,332
1784522675774.2139,329
1784522675873.688,334
1784522675973.742,329
1784522676073.7998,330
1784522676173.801,327
1784522676275.807,331
1784522676376.551,330
1784522676494.778,328
1784522676594.5808,326
1784522676694.1882,328
1784522676794.0747,332
1784522676894.8281,329
1784522676993.998,328
1784522677094.391,330
1784522677193.783,326
1784522677293.982,330
1784522677394.495,328
1784522677494.071,331
1784522677614.066,329
1784522677714.357,332
1784522677814.3042,329
1784522677913.888,331
1784522678034.2651,329
1784522678134.657,329
1784522678234.594,331
1784522678334.503,327
1784522678434.2358,328
1784522678533.8418,325
1784522678634.623,330
1784522678734.434,331
1784522678834.7312,331
1784522678933.602,329
1784522679034.359,329
1784522679135.23,329
1784522679233.422,331
1784522679334.118,327
1784522679434.368,329
1784522679533.8262,329
1784522679635.179,328
1784522679734.7253,331
1784522679855.714,328
1784522679954.1702,328
1784522680055.846,330
1784522680154.693,328
1784522680256.317,329
1784522680355.9812,330
1784522680455.4272,329
1784522680555.5762,328
1784522680655.3062,330
1784522680755.542,328
1784522680873.3672,328
1784522680973.994,328
1784522681073.823,327
1784522681174.029,330
1784522681274.108,335
1784522681374.397,331
1784522681476.4568,329
1784522681574.105,327
1784522681674.0999,327
1784522681774.42,330
1784522681874.053,331
1784522681975.064,331
1784522682074.807,332
1784522682174.84,329
1784522682293.931,332
1784522682394.208,330
1784522682494.237,327
1784522682595.0679,327
1784522682694.988,329
1784522682795.079,331
1784522682897.148,330
1784522683015.1182,329
1784522683115.505,327
1784522683215.3752,329
1784522683314.994,327
1784522683416.2852,328
1784522683518.4377,329
1784522683615.148,330
1784522683715.429,328
1784522683816.771,332
1784522683916.5198,328
1784522684016.765,329
1784522684115.361,332
1784522684216.774,327
1784522684317.035,331
1784522684415.836,328
1784522684535.338,329
1784522684635.5042,328
1784522684736.4321,328
1784522684837.193,330
1784522684939.899,332
1784522685056.0798,328
1784522685155.6868,328
1784522685255.6719,331
1784522685356.034,329
1784522685455.955,328
1784522685555.61,329
1784522685655.925,330
1784522685756.0032,328
1784522685855.8381,327
1784522685975.736,330
1784522686076.0361,329
1784522686176.1448,328
1784522686275.9968,329
1784522686376.051,329
1784522686475.6758,327
1784522686576.235,330
1784522686678.957,327
1784522686796.098,327
1784522686896.152,330
1784522686995.8489,330
1784522687095.839,328
1784522687196.1018,327
1784522687295.816,332
1784522687395.9019,330
1784522687516.033,329
1784522687616.093,329
1784522687716.0352,327
1784522687816.127,330
1784522687915.5898,328
1784522688015.6091,330
1784522688115.835,330
1784522688216.083,328
1784522688315.92,330
1784522688416.0308,333
1784522688515.6409,331
1784522688636.128,330
1784522688736.1128,329
1784522688835.926,332
1784522688938.564,330
1784522689036.0708,330
1784522689136.093,330
1784522689235.95,328
1784522689338.6992,330
1784522689438.034,329
1784522689555.9038,331
1784522689656.105,327
1784522689756.0452,328
1784522689855.699,328
1784522689956.1758,330
1784522690055.833,329
1784522690156.102,329
1784522690257.655,330
1784522690357.843,328
1784522690476.1392,329
1784522690576.274,330
1784522690676.049,329
1784522690775.9832,327
1784522690875.9602,330
1784522690975.959,331
1784522691076.135,327
1784522691195.958,328
1784522691295.245,331
1784522691396.7021,330
1784522691495.848,332
1784522691595.8608,329
1784522691695.8289,327
1784522691795.906,328
1784522691895.56,329
1784522691996.0452,326
1784522692095.871,330
1784522692195.5881,331
1784522692295.4768,331
